Name,Customer_ID,Address,City,State,ZIP,Avg_Sale_Amount,Store_Number,Responded_to_Last_Catalog,Avg_Num_Products_Purchased,#_Years_as_Customer,Customer_Segment_Loyalty_Club_Only,Customer_Segment_Loyalty_Club_and_Credit_Card,Customer_Segment_Store_Mailing_List
Jennifer Eaton,244,742 S Wolcott Ct,Denver,CO,80219,45.77,100,No,1,8,0,0,1
Mary Gentzler,252,1177 Sequerra St,Broomfield,CO,80020,231.88,109,No,1,4,0,0,1
Michelle Lamont,264,1955 Ulster St,Denver,CO,80220,162.67,103,No,1,7,0,0,1
Karen Jacobs,275,17019 Lamar Dr,Parker,CO,80134,195.13,102,No,1,7,0,0,1
Charmaine Nelson,276,8903 Colorado Blvd,Thornton,CO,80229,195.62,107,No,1,2,0,0,1
Brenda Karels,277,800 Pearl St,Denver,CO,80203,185.83,100,No,1,6,0,0,1
Stephenie Jarrett,278,292 Berthoud Trl,Broomfield,CO,80020,75.35,109,No,1,3,0,0,1
Dianne Pierson,279,6040 W 10th Ave,Lakewood,CO,80214,128.04,106,No,1,1,0,0,1
Gloria Anzar,280,7851 W 72nd Pl,Arvada,CO,80005,179.46,109,Yes,1,8,0,0,1
Debra Maxwell,281,12560 Meade Ct,Broomfield,CO,80020,59.98,109,No,1,4,0,0,1
Tamara Bradish,282,5548 S Pitkin St,Centennial,CO,80015,124.4,104,Yes,1,4,0,0,1
Alexandria Holmes,283,22287 E Princeton Dr,Aurora,CO,80018,109.89,104,Yes,1,3,0,0,1
Maria Nuanes,284,835 Sherman St,Denver,CO,80203,216.6,106,No,1,2,0,0,1
Tami Skinner,294,20764 E 47th Ave,Denver,CO,80249,48.73,104,Yes,1,2,0,0,1
Sarah Rundell,295,4451 Utica St,Denver,CO,80212,242.08,108,No,1,7,0,0,1
Lynn Pacheco,296,19083 E Chenango Cir,Aurora,CO,80015,108.69,104,No,1,2,0,0,1
Lizeth Avalos,297,1324 S Ensenada St,Aurora,CO,80017,64.14,104,No,1,2,0,0,1
Regina Hammond,298,5712 Iris St,Arvada,CO,80002,155.09,107,No,1,7,0,0,1
Iona Longsoldier,299,18 Canon Dr,Greenwood Village,CO,80111,234.91,104,No,1,5,0,0,1
Gina Stokesdeary,300,10201 Riverdale Rd,Thornton,CO,80229,16.05,107,No,1,3,0,0,1
Bridget Williams,311,1462 Beth Ln,Northglenn,CO,80234,41.08,109,No,1,3,0,0,1
Elizabeth Macdonald,315,7064 E 2nd Ave,Denver,CO,80220,134.45,100,No,1,2,0,0,1
Debra Hughes,318,1020 Bronco Rd,Denver,CO,80221,124.97,103,No,1,1,0,0,1
Dorothy Kunse,319,7776 Quay St,Arvada,CO,80003,194.22,103,No,1,3,0,0,1
Jessica Lebsack,322,7150 W 20th Ave,Lakewood,CO,80214,197.92,106,No,1,1,0,0,1
Heather Rutherford,329,8751 Dover Cir,Arvada,CO,80005,190.56,103,No,1,8,0,0,1
Shuli Chen,330,1801 S Pennsylvania St,Denver,CO,80210,255.36,107,No,1,5,0,0,1
Sandra Beckley,331,15700 E Jamison Dr,Englewood,CO,80112,20.82,105,No,1,8,0,0,1
Doris Harris,332,1958 E 102nd Cir,Thornton,CO,80229,229.88,103,No,1,8,0,0,1
Rosemarie Ortegon,333,7701 W 87th Dr,Arvada,CO,80005,244.74,108,Yes,1,6,0,0,1
Rhonda Feher,340,2195 Simms Pl,Lakewood,CO,80215,169.97,107,No,1,2,0,0,1
Mary Pinon,341,1240 S Chase Ct,Lakewood,CO,80232,95.64,106,No,1,2,0,0,1
Bambina Iannacito,343,8350 E Yale Ave,Denver,CO,80231,81.29,105,No,1,8,0,0,1
Kelli Clark,344,3202 Ursula St,Aurora,CO,80011,225.97,104,No,1,3,0,0,1
Susan Muniz,345,4745 W 105th Way,Westminster,CO,80031,78.28,108,No,1,1,0,0,1
Phyllis Lorimer,346,4802 W Oxford Ave,Denver,CO,80236,83.32,101,No,1,2,0,0,1
Jennifer Henderson,348,15337 E Temple Pl,Aurora,CO,80015,21.08,104,No,1,2,0,0,1
Barbara Ossentjuk,350,3081 Billings St,Aurora,CO,80011,229.48,105,No,1,5,0,0,1
Elizabeth Lacey,353,7575 E Arkansas Ave,Denver,CO,80231,222.98,100,No,2,5,0,0,1
Linda Ashburn,361,2805 S Eaton Way,Denver,CO,80227,57.61,101,No,1,6,0,0,1
Janet Rauen,362,8418 Allison Ct,Arvada,CO,80005,81.5,106,No,1,2,0,0,1
Brittney Shields,364,6451 W 74th Ave,Arvada,CO,80003,86.16,107,No,1,2,0,0,1
Lena Fishman,365,6398 S Jamaica Ct,Englewood,CO,80111,145.72,104,Yes,1,2,0,0,1
Katherine Fraga,367,10775 W 13th Ave,Lakewood,CO,80215,58.91,106,Yes,1,7,0,0,1
Jennifer Poland,370,12076 Leyden Ct,Brighton,CO,80602,16.67,103,No,1,1,0,0,1
Michele Mcwilliams,371,2730 S Lowell Blvd,Denver,CO,80236,218.44,101,Yes,1,6,0,0,1
Kristin Neal,372,11941 E Kepner Dr,Aurora,CO,80012,113.85,100,No,1,3,0,0,1
Jennifer Voisard,374,5390 W 80th Ave,Arvada,CO,80003,231.04,103,No,2,5,0,0,1
Megan Budden,382,11317 Depew Way,Westminster,CO,80020,232.19,107,No,4,4,0,0,1
Aleesa Brauer,383,1700 Kendall St,Lakewood,CO,80214,229.95,108,No,3,2,0,0,1
Esta Schmidt,385,9662 W 89th Cir,Broomfield,CO,80021,135.28,103,Yes,2,2,0,0,1
Sherri Schafer,392,6969 W 90th Ave,Broomfield,CO,80021,136.31,108,No,3,2,0,0,1
Sharon Duncan,399,18407 E Crestridge Dr,Centennial,CO,80015,180.12,102,No,2,6,0,0,1
Diana Griffin,403,13778 E 4th Ave,Aurora,CO,80011,201.5,105,No,1,3,0,0,1
Kim Dinh,406,6642 W Ida Dr,Littleton,CO,80123,123.64,106,No,1,7,0,0,1
Barbara Davis,409,16252 W 13th Ave,Golden,CO,80401,114.7,106,No,1,6,0,0,1
Susanne Toth,412,938 S Meade St,Denver,CO,80219,180.26,101,No,1,2,0,0,1
Janet Jones,414,9676 E Arkansas Pl,Denver,CO,80247,164.04,100,No,1,8,0,0,1
Michelle Giroir,415,8734 Chase Dr,Arvada,CO,80003,187.17,103,No,1,8,0,0,1
Lillian Barela,419,2978 W 119th Ave,Westminster,CO,80234,157.5,103,No,1,1,0,0,1
Kathy Schipper,420,19126 E Oberlin Dr,Aurora,CO,80013,109.8,104,No,1,6,0,0,1
Carol Sena,421,1330 E 3rd Ave,Broomfield,CO,80020,74.85,109,No,1,2,0,0,1
Idalia Ibarra,422,5995 W Hampden Ave,Denver,CO,80227,66.06,101,No,1,7,0,0,1
Carol Asche,426,423 Tucson St,Aurora,CO,80011,193.22,105,No,1,2,0,0,1
Allison Frost,431,3800 S Fox St,Englewood,CO,80110,228.51,101,Yes,3,2,0,0,1
Ernestina Figueroa,433,4564 Everett St,Wheat Ridge,CO,80033,213.83,108,No,1,1,0,0,1
Elsie Barnett,434,1459 S Bellaire St,Denver,CO,80222,264.84,100,No,1,6,0,0,1
Deirdre Mcmunn,435,9167 W Cedar Dr,Lakewood,CO,80226,60.99,106,No,1,4,0,0,1
Maria Lerma,436,1210 Alton St,Aurora,CO,80010,201.21,104,No,1,7,0,0,1
Suk Trotter,437,600 Martindale Dr,Denver,CO,80210,205.56,100,No,1,8,0,0,1
Alejandra Medina,438,11388 Eaton Way,Westminster,CO,80020,147.39,103,No,1,8,0,0,1
Carol Saeugling,439,5350 W 52nd Ave,Denver,CO,80212,240.49,107,Yes,1,4,0,0,1
Avelina Celestino,440,7580 S Quemoy St,Aurora,CO,80016,99.99,102,No,1,2,0,0,1
Karen Kester,443,2066 S Quitman St,Denver,CO,80219,236.06,100,No,3,6,0,0,1
Mirella Patricio,450,2523 Moore St,Lakewood,CO,80215,185.52,106,No,2,5,0,0,1
Alyse Dunker,455,760 S Harlan St,Lakewood,CO,80226,232.13,106,No,1,2,0,0,1
Sharon Sasso,458,9959 E Peakview Ave,Englewood,CO,80111,69.41,105,No,1,3,0,0,1
Elyssa Anderson,459,7750 W 5th Ave,Lakewood,CO,80226,250.46,100,No,1,3,0,0,1
Elizabeth Creelman,460,1874 S Pontiac Way,Denver,CO,80224,234.7,100,Yes,1,2,0,0,1
Suzanne Farrell,461,17653 E Brunswick Pl,Aurora,CO,80013,223.54,104,No,1,1,0,0,1
Maria Salas,465,983 Bramblewood Dr,Castle Pines,CO,80108,97.97,102,No,2,4,0,0,1
Zelus Lewis,466,2721 S Truckee St,Aurora,CO,80013,140.94,104,No,1,2,0,0,1
Carole Gooden,467,9315 Riviera Hills Dr,Greenwood Village,CO,80111,114.48,102,No,1,3,0,0,1
Gem Dulaney,468,3651 High St,Denver,CO,80205,186.2,108,No,1,4,0,0,1
Laura Rankin,469,12535 E Tennessee Cir,Aurora,CO,80012,204.57,104,No,1,7,0,0,1
Kathy Holmes,474,16339 E Berry Pl,Centennial,CO,80015,208.93,104,No,1,2,0,0,1
Korie Goss,475,30 S Yates St,Denver,CO,80219,107.89,108,No,1,7,0,0,1
Naomi Tibaldo,487,10804 W Connecticut Ave,Denver,CO,80232,22.94,101,No,1,4,0,0,1
Suzanne Acosta,488,2540 S Dudley St,Lakewood,CO,80227,170.54,106,No,1,6,0,0,1
Susan Flood,489,13980 Monroe St,Thornton,CO,80602,161.58,103,No,1,8,0,0,1
Jaye Wike,490,12045 W 53rd Pl,Arvada,CO,80002,92.42,108,No,1,8,0,0,1
Celsa Cruz,492,1890 S Raritan St,Denver,CO,80223,195.55,100,Yes,3,6,0,0,1
Salustia Gonzalez,493,4938 Julian St,Denver,CO,80221,252.94,107,No,2,3,0,0,1
Jill Motto,501,3791 S Grape St,Denver,CO,80237,213.83,101,No,1,8,0,0,1
Ruby Pedigo,505,2913 S Vrain St,Denver,CO,80236,146.68,107,No,3,4,0,0,1
Margi Legins,506,17910 E Cornell Dr,Aurora,CO,80013,107.18,104,No,1,2,0,0,1
Veronica Decena,511,11191 W 17th Ave,Lakewood,CO,80215,243.03,108,Yes,1,3,0,0,1
Shirley Gline,512,10937 Ammons St,Broomfield,CO,80021,44.69,109,No,1,3,0,0,1
Robin Hall,513,6492 W 81st Ave,Arvada,CO,80003,254.07,108,No,1,1,0,0,1
Jeanette Oconnor,515,2898 S Richfield St,Aurora,CO,80013,56.0,105,No,1,1,0,0,1
Andrea Renshaw,516,12931 W Asbury Pl,Lakewood,CO,80228,147.58,101,No,1,2,0,0,1
Beverly Money,518,1385 Monterey Dr,Broomfield,CO,80020,162.0,109,No,3,1,0,0,1
Harriette Black,527,8087 Wolff St,Westminster,CO,80031,243.19,107,No,1,4,0,0,1
Kelly Carlson,528,8440 Benton St,Arvada,CO,80003,218.02,103,No,3,5,0,0,1
Wannee Brouillette,530,464 S Lafayette St,Denver,CO,80209,175.66,101,No,2,7,0,0,1
Leora Heath,531,1520 S Florence Way,Denver,CO,80247,117.0,100,No,1,8,0,0,1
Heather Wilson,533,14261 E 1st Dr,Aurora,CO,80011,125.5,105,No,2,3,0,0,1
Ann Rodriguez,535,6324 Upham St,Arvada,CO,80003,155.08,106,No,3,4,0,0,1
Shawna Penny,537,1253 S Akron Way,Denver,CO,80247,174.72,100,No,3,8,0,0,1
Helen Elliott,539,12932 Grant Cir E,Thornton,CO,80241,243.12,103,No,1,4,0,0,1
Gina Rotolo,542,5102 W Custer Pl,Denver,CO,80219,225.14,106,No,4,8,0,0,1
Meghan Boyd,547,1410 Moline St,Aurora,CO,80010,223.45,105,No,4,7,0,0,1
Kimberley Lydick,558,6235 W 46th Pl,Wheat Ridge,CO,80033,31.81,107,No,1,2,0,0,1
Danielle Bash,560,2975 Elm St,Denver,CO,80207,171.04,101,No,1,6,0,0,1
Heather Randall,565,12978 E Ohio Ave,Aurora,CO,80012,173.16,105,No,2,4,0,0,1
Bernadette Mckale,569,2131 S Quentin Way,Aurora,CO,80014,187.93,105,No,1,7,0,0,1
Teodora Hernandez,577,2165 S Waco Ct,Aurora,CO,80013,79.63,105,No,1,8,0,0,1
Mary Chesney,578,8280 S San Juan Range Rd,Littleton,CO,80127,35.64,101,No,1,8,0,0,1
Corinne Hogan,579,33 Cherry Hills Farm Dr,Englewood,CO,80113,233.85,101,No,1,6,0,0,1
Kimberley Dale,580,225 S Zenobia St,Denver,CO,80219,278.06,106,No,1,2,0,0,1
Paula Callaghan,581,14989 E Aberdeen Ave,Centennial,CO,80016,77.76,102,No,1,4,0,0,1
Shelly Toltz,582,15464 E Ford Cir,Aurora,CO,80017,246.79,105,No,1,2,0,0,1
Nancy Dean,583,8371 Mason Cir,Westminster,CO,80031,220.83,103,No,1,7,0,0,1
Cheree Romero,584,13081 E 13th Pl,Aurora,CO,80011,56.3,104,No,1,2,0,0,1
Roxeen Frank,586,2065 S Pagosa St,Aurora,CO,80013,189.74,100,No,1,3,0,0,1
Mary Bell,587,16323 E Rice Pl,Aurora,CO,80015,236.01,104,No,1,4,0,0,1
Peggy Flores,588,9621 W 56th Pl,Arvada,CO,80002,166.92,103,No,1,2,0,0,1
Margaret Pollard,589,432 Toledo St,Aurora,CO,80011,45.9,105,Yes,1,3,0,0,1
Anupama Ginjupalli,591,8155 E Fairmount Dr,Denver,CO,80230,168.09,100,No,1,6,0,0,1
Melanie Raykin,595,1141 W 99th Ave,Northglenn,CO,80260,244.16,109,No,4,4,0,0,1
Ann Poundstone,599,8060 E Girard Ave,Denver,CO,80231,243.37,105,No,1,1,0,0,1
Mayra Mecias,602,4171 S Zephyr St,Lakewood,CO,80235,278.26,101,No,3,1,0,0,1
Yevgeniya Belongia,613,929 S Peoria St,Aurora,CO,80012,168.42,100,No,3,2,0,0,1
Willia Kindrick,615,1609 S Ivory Cir,Aurora,CO,80017,67.45,104,No,1,1,0,0,1
Margaret Lessenger,617,15700 E Jamison Dr,Englewood,CO,80112,88.13,104,No,2,6,0,0,1
Mary Davis,621,7098 W Cedar Ave,Lakewood,CO,80226,50.97,106,No,1,7,0,0,1
Carol Alberts,622,6658 S Wellington Ct,Centennial,CO,80121,60.5,104,No,1,4,0,0,1
Nadine Whitsett,623,1450 S Shoshone St,Denver,CO,80223,16.25,106,No,1,5,0,0,1
Deana Crenshaw,624,4295 E Mexico Ave,Denver,CO,80222,205.42,100,No,1,2,0,0,1
Jackie Williams,626,705 S Alton Way,Denver,CO,80247,9.86,100,No,1,5,0,0,1
Mary Schirner,633,7364 E 10th Ave,Denver,CO,80230,211.06,105,Yes,1,3,0,0,1
Cheryl Lloyd,639,842 S Chambers Rd,Aurora,CO,80017,236.32,105,No,3,3,0,0,1
Sharon Gay,643,11504 Marshall St,Westminster,CO,80020,46.65,109,No,1,2,0,0,1
Karen Wolf,648,1030 Hazel Ct,Denver,CO,80204,125.01,101,No,1,5,0,0,1
Sasha Breger,654,11378 Quivas Way,Denver,CO,80234,139.68,107,Yes,1,5,0,0,1
Francine Haber,655,1270 Pontiac St,Denver,CO,80220,45.54,101,Yes,1,3,0,0,1
Stephanie Kaltenborn,656,2701 S Clarkson St,Englewood,CO,80113,142.01,101,No,1,4,0,0,1
Anna Bellos-Kauderer,657,11450 Melody Dr,Northglenn,CO,80234,41.49,103,No,1,4,0,0,1
Reatha Knieper,658,4401 W Union Ave,Denver,CO,80236,139.91,101,No,1,2,0,0,1
Julia Jaeke,659,12961 Prince Ct,Broomfield,CO,80020,161.58,109,No,1,8,0,0,1
Helga Demko,661,9621 Independence Dr,Broomfield,CO,80021,264.42,103,No,2,5,0,0,1
Sharol Rutherford,664,6127 Jellison Way,Arvada,CO,80004,232.04,108,No,2,2,0,0,1
Tam Christiansen,670,2567 Rainbow Dr,Denver,CO,80229,220.63,107,No,3,7,0,0,1
Ruth Barber,673,6391 W 60th Ave,Arvada,CO,80003,121.23,103,No,2,5,0,0,1
Rosa Cirillo,675,5527 S Foresthill St,Littleton,CO,80120,92.4,106,No,2,3,0,0,1
Kristen Johnson,676,150 Albion St,Denver,CO,80220,188.53,100,Yes,2,8,0,0,1
L Perkins,678,6055 Brooks Dr,Arvada,CO,80004,173.36,103,Yes,2,6,0,0,1
Laurie Bullock,681,26 Douglas Dr N,Broomfield,CO,80020,237.01,109,Yes,1,6,0,0,1
Amy Price,683,10895 E Colorado Dr,Aurora,CO,80012,261.61,105,No,2,8,0,0,1
Mariann Immordino,686,19573 E Milan Cir,Aurora,CO,80013,239.67,105,No,3,4,0,0,1
Heidi Williams,700,1578 S Clermont St,Denver,CO,80222,210.79,100,No,1,8,0,0,1
Marion Slavsky,703,3041 S Bryant St,Denver,CO,80236,172.71,101,No,1,4,0,0,1
Claudia Whitten,704,3961 W Rutgers Pl,Denver,CO,80236,65.79,101,Yes,1,1,0,0,1
Sherry Ortiz,705,5510 E 130th Dr,Thornton,CO,80241,160.51,103,No,1,4,0,0,1
Kimberly Compton,706,7880 E Ellsworth Ave,Denver,CO,80230,89.63,100,No,1,6,0,0,1
Stephanie Lee,707,20963 E Ithaca Pl,Aurora,CO,80013,94.9,102,No,1,4,0,0,1
Akemi Simmons,708,7672 Garrison Ct,Arvada,CO,80005,127.26,103,No,1,5,0,0,1
Carol Knudsen,710,3830 S Ouray Way,Aurora,CO,80013,43.7,104,No,1,6,0,0,1
Pamela Williams,711,1027 Ingalls St,Lakewood,CO,80214,239.87,100,No,1,3,0,0,1
Sophilia Wilder,712,1874 S Leyden St,Denver,CO,80224,106.7,100,No,1,1,0,0,1
Pauline Bargell,713,6531 W 109th Ave,Westminster,CO,80020,22.52,109,Yes,1,6,0,0,1
Linda Sanchez,714,2247 Verbena St,Denver,CO,80238,245.99,107,No,1,6,0,0,1
Kim Goehring,717,2626 S Clayton St,Denver,CO,80210,85.99,100,No,2,2,0,0,1
Charlene Kirby,724,14235 W 70th Dr,Arvada,CO,80004,77.27,108,No,1,2,0,0,1
Gina Bowermaster,725,1401 Saint Andrews Dr,Broomfield,CO,80020,217.0,109,No,1,8,0,0,1
Rita Allen,726,18257 E Belleview Pl,Centennial,CO,80015,247.78,104,No,1,2,0,0,1
Patricia Hausman,727,3307 S Clermont St,Denver,CO,80222,168.72,100,Yes,1,2,0,0,1
Christina Thomas,728,7069 W 74th Ave,Arvada,CO,80003,78.91,108,No,1,7,0,0,1
Peggy Nankervis,730,12133 W 60th Pl,Arvada,CO,80004,137.54,108,Yes,1,2,0,0,1
Sarah Height,731,11916 W 74th Dr,Arvada,CO,80005,205.17,108,No,1,5,0,0,1
